20250715,3,5
20250714,1,10
20250714,3,5
20250711,3,5
20250708,3,5
20250623,2,1
20250623,3,5
20250622,3,5
20250612,1,10
20250612,3,5
20250611,3,5
20250603,3,5
20250602,3,5
20250530,3,5
20250527,3,10
20250522,0,1
20250521,3,5
20250512,1,15
20250502,3,5
20250427,3,5
20250422,0,1
20250412,1,15
20250403,4,15
20250327,4,10
20250326,5,20
20250324,3,5
20250321,0,1
20250321,3,5
20250320,3,5
20250319,3,5
20250316,3,5
20250312,1,10
20250311,3,5
20250309,3,5
20250221,0,1
20250217,5,15
20250212,1,10
20250212,3,5
20250210,3,5
20250124,0,1
20250121,3,5
20250120,3,5
20250112,1,20
20250108,3,5
20250102,3,5
20241224,0,1
20241212,1,10
20241122,0,1
20241117,3,5
20241115,3,5
20241113,5,1
20241112,1,10
20241110,3,5
20241023,0,1
20241016,5,1
20241012,1,5
20241003,3,5
20241001,3,5
20240926,0,1
20240916,3,5
20240914,3,5
20240912,1,10
20240911,5,1
20240830,3,5
20240827,3,5
20240826,3,5
20240823,3,5
20240820,5,1
20240813,3,5
20240812,1,15
20240810,3,5
20240722,5,1
20240722,0,1
20240712,1,5
20240702,3,5
20240630,3,5
20240626,5,1
20240625,0,1
20240612,1,10
20240611,3,5
20240528,3,5
20240521,3,5
20240519,3,5
20240515,5,1
20240512,1,5
20240508,3,5
20240505,3,5
20240504,4,15
20240411,1,10
20240331,4,10
20240330,3,5
20240329,3,5
20240312,1,5
20240303,3,5
20240302,3,5
20240123,3,5
20240122,3,5
20240116,3,5
20240115,3,5
20231231,3,45
